
SIH26081 Project Cleanup Manifest
Execution Date: Friday 04 September 2026 04:13:21 PM IST
======================================================================

DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/build_env/__pycache__ (40603 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/cli/__pycache__ (156618 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/commands/__pycache__ (188979 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/distributions/__pycache__ (21304 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/index/__pycache__ (94142 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/locations/__pycache__ (39967 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/metadata/importlib/__pycache__ (31713 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/metadata/__pycache__ (73544 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/models/__pycache__ (75219 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/network/__pycache__ (105555 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/operations/build/__pycache__ (17722 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/operations/install/__pycache__ (41251 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/operations/__pycache__ (56596 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/req/__pycache__ (156791 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/resolution/legacy/__pycache__ (25435 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/resolution/resolvelib/__pycache__ (156979 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/resolution/__pycache__ (1825 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/utils/__pycache__ (204015 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/vcs/__pycache__ (88263 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_internal/__pycache__ (128678 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/cachecontrol/caches/__pycache__ (13108 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/cachecontrol/__pycache__ (57632 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/certifi/__pycache__ (3718 bytes) - Python cache directory
